reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
15,35,13,0,0,0,t,0.5535491,None,0,0,0,1,0.0679581,,0.0656714,0.0679581,1.0021898,1.0021898,1.0689022,1.5751641,t,0.5535491,None,P1,1,2025-11-04_17h36.59.067,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.03539687,2025-11-04 17h37.06.333125 +0530
40,55,62,1,1,0,l,0.243765,None,0,1,1,3,1.5880379,,1.5853306,1.5880379,2.5855452,2.5855452,2.6022109,2.8360686,l,0.243765,None,P1,1,2025-11-04_17h36.59.067,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.03539687,2025-11-04 17h37.06.333125 +0530
11,30,7,2,2,0,t,0.2445696,None,0,2,2,0,2.852164,,2.8407331,2.852164,3.8357235,3.8357235,3.8523256,4.0861023,t,0.2445696,None,P1,1,2025-11-04_17h36.59.067,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.03539687,2025-11-04 17h37.06.333125 +0530
49,60,89,3,3,0,l,0.1855627,None,0,3,3,4,4.1027604,,4.0956932,4.1027604,5.085631,5.085631,5.1021504,5.2860798,l,0.1855627,None,P1,1,2025-11-04_17h36.59.067,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.03539687,2025-11-04 17h37.06.333125 +0530
67,75,119,4,4,0,t,0.2895273,None,0,4,4,5,5.3024407,,5.2913142,5.3024407,6.285798,6.285798,6.3024043,6.5861591,t,0.2895273,None,P1,1,2025-11-04_17h36.59.067,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.03539687,2025-11-04 17h37.06.333125 +0530
78,80,162,5,5,0,l,0.1165618,None,0,5,5,6,6.6021706,,6.590015,6.6021706,7.5855629,7.5855629,7.6020412,7.7029159,l,0.1165618,None,P1,1,2025-11-04_17h36.59.067,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.03539687,2025-11-04 17h37.06.333125 +0530
27,50,21,6,6,0,t,0.2606563,None,0,6,6,2,7.7187096,,7.7056825,7.7187096,8.7021925,8.7021925,8.718871,8.9700714,t,0.2606563,None,P1,1,2025-11-04_17h36.59.067,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.03539687,2025-11-04 17h37.06.333125 +0530
78,80,162,7,0,1,l,0.2427757,None,1,0,7,6,8.9854107,,8.9758211,8.9854107,9.985588,9.985588,9.985588,10.236232,l,0.2427757,None,P1,1,2025-11-04_17h36.59.067,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.03539687,2025-11-04 17h37.06.333125 +0530
11,30,7,8,1,1,t,0.4578993,None,1,1,8,0,10.2524009,,10.2388826,10.2524009,11.235334,11.235334,11.2521921,11.7024489,t,0.4578993,None,P1,1,2025-11-04_17h36.59.067,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.03539687,2025-11-04 17h37.06.333125 +0530
15,35,13,9,2,1,t,0.2994321,None,1,2,9,1,11.718946,,11.7047755,11.718946,12.7023609,12.7023609,12.7192535,13.0027339,t,0.2994321,None,P1,1,2025-11-04_17h36.59.067,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.03539687,2025-11-04 17h37.06.333125 +0530
