pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.33714019999933953,None,0,0,0,0,,,,,0.055922300000020186,,0.03911100000004808,1.0090101999994658,1.0090101999994658,1.0090101999994658,1.0090101999994658,1.0090101999994658,2.009135199999946,2.009135199999946,2.009135199999946,2.3587846999998874,x,1,0.33714019999933953,None,,,,,Participant 1 ,001,2025-10-02_15h24.18.561,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,119.01134892075834,2025-10-02 15h24.35.313320 +0530,
150,v,1,1,0,x,0,0.07134659999974247,None,0,1,1,1,,,,,2.374474399999599,,2.3593684999996185,3.347908699999607,3.347908699999607,3.347908699999607,3.347908699999607,3.347908699999607,4.347115099999428,4.356928700000935,4.356928700000935,4.431261499999891,x,0,0.07134659999974247,None,,,,,Participant 1 ,001,2025-10-02_15h24.18.561,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,119.01134892075834,2025-10-02 15h24.35.313320 +0530,
50,c,2,2,0,c,1,0.8115453999998863,None,0,2,2,2,,,,,4.439438100000189,,4.43159039999955,5.441942800000106,5.441942800000106,5.441942800000106,5.441942800000106,5.441942800000106,6.4426540000004024,6.4426540000004024,6.4426540000004024,7.259356500000649,c,1,0.8115453999998863,None,,,,,Participant 1 ,001,2025-10-02_15h24.18.561,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,119.01134892075834,2025-10-02 15h24.35.313320 +0530,
-150,z,3,3,0,z,1,0.710484400000496,None,0,3,3,3,,,,,7.275859400000627,,7.259862599999906,8.25668079999923,8.25668079999923,8.25668079999923,8.25668079999923,8.25668079999923,9.26732169999923,9.26732169999923,9.26732169999923,9.984440000000177,z,1,0.710484400000496,None,,,,,Participant 1 ,001,2025-10-02_15h24.18.561,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,119.01134892075834,2025-10-02 15h24.35.313320 +0530,
-50,x,4,0,1,v,0,0.8359070000005886,None,1,0,4,0,,,,,10.00060830000075,,9.984948999999688,11.000889700000698,11.000889700000698,11.000889700000698,11.000889700000698,11.000889700000698,12.000903199999811,11.983525400000872,11.983525400000872,12.834492100000716,v,0,0.8359070000005886,None,,,,,Participant 1 ,001,2025-10-02_15h24.18.561,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,119.01134892075834,2025-10-02 15h24.35.313320 +0530,
150,v,5,1,1,x,0,0.519249499999205,None,1,1,5,1,,,,,12.850793699999485,,12.835016600000017,13.837660799999867,13.837660799999867,13.837660799999867,13.837660799999867,13.837660799999867,14.850403599999481,14.850403599999481,14.850403599999481,15.384494899999481,x,0,0.519249499999205,None,,,,,Participant 1 ,001,2025-10-02_15h24.18.561,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,119.01134892075834,2025-10-02 15h24.35.313320 +0530,
50,c,6,2,1,v,0,0.2727522000004683,None,1,2,6,2,,,,,15.400236600000426,,15.38502619999963,16.38425190000089,16.38425190000089,16.38425190000089,16.38425190000089,16.38425190000089,17.383670400000483,17.383670400000483,17.383670400000483,17.667835899999773,v,0,0.2727522000004683,None,,,,,Participant 1 ,001,2025-10-02_15h24.18.561,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,119.01134892075834,2025-10-02 15h24.35.313320 +0530,
-150,z,7,3,1,z,1,0.6135410999995656,None,1,3,7,3,,,,,17.68347370000083,,17.668364700000893,18.670510699999795,18.670510699999795,18.670510699999795,18.670510699999795,18.670510699999795,19.684843700000783,19.668281500000376,19.668281500000376,20.284564300000056,z,1,0.6135410999995656,None,,,,,Participant 1 ,001,2025-10-02_15h24.18.561,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,119.01134892075834,2025-10-02 15h24.35.313320 +0530,
-50,x,8,0,2,v,0,0.8181186999991041,None,2,0,8,0,,,,,20.300313600000663,,20.28509479999957,21.286676400000943,21.286676400000943,21.286676400000943,21.286676400000943,21.286676400000943,22.30056279999917,22.30056279999917,22.30056279999917,23.134856799999397,v,0,0.8181186999991041,None,,,,,Participant 1 ,001,2025-10-02_15h24.18.561,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,119.01134892075834,2025-10-02 15h24.35.313320 +0530,
150,v,9,1,2,c,0,0.10475770000084594,None,2,1,9,1,,,,,23.15123929999936,,23.13538680000056,24.15047030000096,24.15047030000096,24.15047030000096,24.15047030000096,24.15047030000096,25.15028920000077,25.15028920000077,25.15028920000077,25.267502700000477,c,0,0.10475770000084594,None,,,,,Participant 1 ,001,2025-10-02_15h24.18.561,Motor Sequence Learning Bhumika Bajaj AU2320057,,2025.1.1,119.01134892075834,2025-10-02 15h24.35.313320 +0530,
