thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.2125)],[np.float64(0.12875)],[1],[0],[0],[5.759519399958663],['target'],0,0,0,0,0.05812669999431819,,10,0.03490520000923425,0.05812669999431819,0.05812669999431819,0.03492760000517592,5.7945203999988735,[np.float64(0.2125)],[np.float64(0.12875)],[1],[0],[0],[5.759519399958663],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
1,0,1,[np.float64(-0.34875)],[np.float64(-0.38375)],[1],[0],[0],[2.00876120000612],['target'],1,0,1,0,5.823961999965832,,5,5.809368000016548,5.823961999965832,5.823961999965832,0.014592499996069819,7.818228899966925,[np.float64(-0.34875)],[np.float64(-0.38375)],[1],[0],[0],[2.00876120000612],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
2,0,2,[np.float64(-0.39375)],[np.float64(-0.37875)],[1],[0],[0],[0.9938348000287078],['target'],2,0,2,0,7.8489508999628015,,5,7.833385300007649,7.8489508999628015,7.8489508999628015,0.014992200012784451,8.827309000014793,[np.float64(-0.39375)],[np.float64(-0.37875)],[1],[0],[0],[0.9938348000287078],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
3,0,3,[np.float64(-0.24875)],[np.float64(-0.42375)],[1],[0],[0],[1.2307482000323944],['target'],3,0,3,0,8.8746960000135,,10,8.856887399975676,8.8746960000135,8.8746960000135,0.029429899994283915,10.08766789996298,[np.float64(-0.24875)],[np.float64(-0.42375)],[1],[0],[0],[1.2307482000323944],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
4,0,4,"[np.float64(0.00625), np.float64(0.03125)]","[np.float64(-0.1525), np.float64(-0.15875)]","[1, 1]","[0, 0]","[0, 0]","[1.606606399989687, 2.915689099987503]","[None, 'target']",4,0,4,0,10.149443099973723,,10,10.120940799999516,10.149443099973723,10.149443099973723,0.03298969997558743,13.036724300007336,"[np.float64(0.00625), np.float64(0.03125)]","[np.float64(-0.1525), np.float64(-0.15875)]","[1, 1]","[0, 0]","[0, 0]","[1.606606399989687, 2.915689099987503]","[None, 'target']",003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
5,0,5,[np.float64(0.31375)],[np.float64(-0.0775)],[1],[0],[0],[1.833392200001981],['target'],5,0,5,0,13.083497199986596,,10,13.06204649998108,13.083497199986596,13.083497199986596,0.02509820001432672,14.895542700018268,[np.float64(0.31375)],[np.float64(-0.0775)],[1],[0],[0],[1.833392200001981],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
6,0,6,[np.float64(-0.46125)],[np.float64(0.2025)],[1],[0],[0],[3.3893280999618582],['target'],6,0,6,0,14.95787859999109,,10,14.93106999999145,14.95787859999109,14.95787859999109,0.03526189998956397,18.320480399997905,[np.float64(-0.46125)],[np.float64(0.2025)],[1],[0],[0],[3.3893280999618582],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
7,0,7,[np.float64(0.44)],[np.float64(0.08625)],[1],[0],[0],[2.435186800023075],['target'],7,0,7,0,18.366077099984977,,10,18.345891700009815,18.366077099984977,18.366077099984977,0.025213299959432334,20.781207699968945,[np.float64(0.44)],[np.float64(0.08625)],[1],[0],[0],[2.435186800023075],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
8,0,8,[np.float64(-0.215)],[np.float64(0.37)],[1],[0],[0],[1.9532521000364795],['target'],8,0,8,0,20.842597800015938,,10,20.818343599967193,20.842597800015938,20.842597800015938,0.036849599971901625,22.771730899985414,[np.float64(-0.215)],[np.float64(0.37)],[1],[0],[0],[1.9532521000364795],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
9,0,9,[np.float64(0.05625)],[np.float64(-0.405)],[1],[0],[0],[1.6610173999797553],['target'],9,0,9,0,22.79946710000513,,5,22.788657199998852,22.79946710000513,22.79946710000513,0.01667550002457574,24.44975859997794,[np.float64(0.05625)],[np.float64(-0.405)],[1],[0],[0],[1.6610173999797553],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
10,0,10,[np.float64(0.11)],[np.float64(-0.34)],[1],[0],[0],[1.7176376999705099],['target'],10,0,10,0,24.481602500018198,,5,24.467316299967933,24.481602500018198,24.481602500018198,0.017331100010778755,26.185035899979994,[np.float64(0.11)],[np.float64(-0.34)],[1],[0],[0],[1.7176376999705099],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
11,0,11,[np.float64(-0.45375)],[np.float64(-0.0275)],[1],[0],[0],[2.0190983000211418],['target'],11,0,11,0,26.21540859999368,,5,26.20051130000502,26.21540859999368,26.21540859999368,0.015346700034569949,28.21973389998311,[np.float64(-0.45375)],[np.float64(-0.0275)],[1],[0],[0],[2.0190983000211418],['target'],003,001,2025-09-29_15h58.58.233,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,60.36864716970601,2025-09-29 15h59.18.414456 +0530,
