word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,text_2.stopped,instruction.stopped,trial.started,circle.started,circle.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0024130999809131026,0.005650600010994822,1.0162940999725834,0.9905198999913409,,,,,,,,,,,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
BLUE,red,I,r,0,0,0,r,1,0.5151367000071332,None,0,0,0,2,1.0162940999725834,,,,,,1.0123042999766767,1.0162940999725834,1.5057614999823272,1.5057614999823272,1.5057614999823272,2.032162299961783,r,1,0.5151367000071332,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
BLUE,blue,C,b,1,1,0,b,1,0.37651989998994395,None,0,1,1,3,2.0392802999704145,,,,,,2.0329083999968134,2.0392802999704145,2.5402206999715418,2.5402206999715418,2.5402206999715418,2.9239130999776535,b,1,0.37651989998994395,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
RED,blue,I,b,2,2,0,b,1,0.3987310000229627,None,0,2,2,1,2.9401467999559827,,,,,,2.9323527999804355,2.9401467999559827,3.423344599956181,3.423344599956181,3.423344599956181,3.8237765000085346,b,1,0.3987310000229627,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
RED,red,C,r,3,3,0,r,1,0.42747199995210394,None,0,3,3,0,3.840210800000932,,,,,,3.8246592999785207,3.840210800000932,4.323484499996994,4.323484499996994,4.323484499996994,4.758105199958663,r,1,0.42747199995210394,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
RED,red,C,r,4,0,1,r,1,0.3519690000102855,None,1,0,4,0,4.772961399983615,,,,,,4.759007899963763,4.772961399983615,5.273443599988241,5.273443599988241,5.273443599988241,5.639450199960265,r,1,0.3519690000102855,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
RED,blue,I,b,5,1,1,b,1,0.5877934999880381,None,1,1,5,1,5.6552433999604546,,,,,,5.640354299976025,5.6552433999604546,6.139371099998243,6.139371099998243,6.139371099998243,6.74117519997526,b,1,0.5877934999880381,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
BLUE,red,I,r,6,2,1,r,1,0.509043300000485,None,1,2,6,2,6.756504799996037,,,,,,6.744792799989227,6.756504799996037,7.256074099976104,7.256074099976104,7.256074099976104,7.772803400002886,r,1,0.509043300000485,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
BLUE,blue,C,b,7,3,1,b,1,0.45180169999366626,None,1,3,7,3,7.788783999974839,,,,,,7.77373879996594,7.788783999974839,8.273172399960458,8.273172399960458,8.273172399960458,8.741435799980536,b,1,0.45180169999366626,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
RED,red,C,r,8,0,2,r,1,0.949611600022763,None,2,0,8,0,8.75649949995568,,,,,,8.750174699991476,8.75649949995568,9.256773000000976,9.256773000000976,9.256773000000976,10.209143799962476,r,1,0.949611600022763,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
RED,blue,I,b,9,1,2,b,1,0.531403600005433,None,2,1,9,1,10.22347450000234,,,,,,10.21110509999562,10.22347450000234,10.723610199987888,10.723610199987888,10.723610199987888,11.257948099984787,b,1,0.531403600005433,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
BLUE,blue,C,b,10,2,2,b,1,0.403973100008443,None,2,2,10,3,11.27320910000708,,,,,,11.266738099977374,11.27320910000708,11.773715299961623,11.773715299961623,11.773715299961623,12.191490900004283,b,1,0.403973100008443,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
BLUE,red,I,r,11,3,2,r,1,0.4580295999767259,None,2,3,11,2,12.206959099974483,,,,,,12.19313269999111,12.206959099974483,12.706416499975603,12.706416499975603,12.706416499975603,13.17405349999899,r,1,0.4580295999767259,None,,,,,3,001,2025-08-26_17h52.19.684,stroop,,2025.1.1,59.86457436011965,2025-08-26 17h52.24.665857 +0530,
