stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
65,0.5,1.0,48.078004400013015,,48.0636679000163,48.078004400013015,48.57316220001667,48.57316220001667,48.58895440000924,48.878474500001175,49.008204100013245,left,-1.0,1,1,0.42211429998860694,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
66,0.5,1.0,49.024604500009445,,49.00850920000812,49.024604500009445,49.50842360002571,49.50842360002571,49.52543930002139,,49.55836450000061,left,-1.0,0,0,0.04365360000520013,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
67,0.5,1.0,49.57476710001356,,49.55868390001706,49.57476710001356,50.05528780000168,50.05528780000168,50.0892047000234,50.35837940001511,50.40958249999676,right,1.0,0,0,0.3499295999936294,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
68,0.5,1.0,50.424802300025476,,50.409821500012185,50.424802300025476,50.908059600013075,50.908059600013075,50.924391000007745,,51.17509180001798,left,-1.0,0,0,0.25962189998244867,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
69,0.5,1.0,51.19121840002481,,51.17551180001465,51.19121840002481,51.67538830000558,51.67538830000558,51.6918924000056,,51.842040200019255,right,1.0,0,0,0.15124049998121336,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
70,0.5,1.0,51.85838670001249,,51.84237480000593,51.85838670001249,52.34185740002431,52.34185740002431,52.35663460000069,52.64182260000962,54.9761576000019,right,1.0,1,1,2.6314975999994203,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
71,0.5,1.0,54.9916121000133,,54.97646370000439,54.9916121000133,55.4912134000042,55.4912134000042,55.4912134000042,55.79172020000988,56.45970400000806,right,1.0,1,1,0.961726900015492,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
72,0.5,1.0,56.47458590002498,,56.46000700001605,56.47458590002498,56.97427570002037,56.97427570002037,56.97427570002037,,57.075349200022174,left,-1.0,0,0,0.09851340000750497,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
73,0.5,1.0,57.09121290000621,,57.075664500007406,57.09121290000621,57.574509700003546,57.574509700003546,57.591184100019746,,57.72482680002577,left,-1.0,1,1,0.1437236999918241,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
74,0.5,1.0,57.74085380000179,,57.72513830001117,57.74085380000179,58.22401990002254,58.22401990002254,58.241012800019234,58.5243992000178,60.20798080001259,left,-1.0,0,0,1.9789737000246532,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
75,0.5,1.0,60.22525460002362,,60.208290100010345,60.22525460002362,60.70825480000349,60.70825480000349,60.72495450000861,,60.97508010000456,left,-1.0,1,1,0.2638307999877725,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
76,0.5,1.0,60.99156789999688,,60.975384100020165,60.99156789999688,61.47416000001249,61.47416000001249,61.491353700024774,61.774696400010725,62.40861130002304,right,1.0,1,1,0.932048400019994,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
77,0.5,1.0,62.42470810000668,,62.40892700001132,62.42470810000668,62.92496180001763,62.92496180001763,62.92496180001763,63.224630300013814,63.39243880001595,right,1.0,1,1,0.45199760000105016,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
78,0.5,0.5,63.40825269999914,,63.392746099998476,63.40825269999914,63.9082333999977,63.9082333999977,63.9082333999977,64.2080188000109,64.50819250001223,left,-0.5,0,0,0.5882867999898735,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
79,0.5,1.0,64.52455580001697,,64.50850160000846,64.52455580001697,65.00798880000366,65.00798880000366,65.02428930002498,65.3079684000113,67.90836860000854,left,-1.0,0,0,2.894571699987864,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
80,0.5,1.0,67.92536200000905,,67.90868750002119,67.92536200000905,68.42441500001587,68.42441500001587,68.42441500001587,68.72510810001404,68.77550090002478,left,-1.0,1,1,0.3350934000045527,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
81,0.5,1.0,68.79241710001952,,68.77580430000671,68.79241710001952,69.29142890000367,69.29142890000367,69.30808539999998,,69.50812440001755,left,-1.0,0,0,0.2079381000075955,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
