thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.365)],[np.float64(0.01125)],[1],[0],[0],[3.78149710000001],['target'],0,0,0,0,0.03980660000000569,,5,0.022556800000003818,0.03980660000000569,0.03980660000000569,0.022589499999995155,3.804183199999997,[np.float64(0.365)],[np.float64(0.01125)],[1],[0],[0],[3.78149710000001],['target'],004,001,2025-09-29_17h41.59.906,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,59.920712912677246,2025-09-29 17h42.09.700073 +0530,
1,0,1,[np.float64(0.25)],[np.float64(-0.14)],[1],[0],[0],[1.9304249000000056],['target'],1,0,1,0,3.831619400000008,,5,3.820663400000001,3.831619400000008,3.831619400000008,0.016213899999996784,5.751178500000009,[np.float64(0.25)],[np.float64(-0.14)],[1],[0],[0],[1.9304249000000056],['target'],004,001,2025-09-29_17h41.59.906,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,59.920712912677246,2025-09-29 17h42.09.700073 +0530,
2,0,2,[np.float64(0.14625)],[np.float64(0.1975)],[1],[0],[0],[2.3529199000000034],['target'],2,0,2,0,5.781978600000002,,5,5.7660293,5.781978600000002,5.781978600000002,0.014705599999999208,8.11906660000001,[np.float64(0.14625)],[np.float64(0.1975)],[1],[0],[0],[2.3529199000000034],['target'],004,001,2025-09-29_17h41.59.906,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,59.920712912677246,2025-09-29 17h42.09.700073 +0530,
3,0,3,[np.float64(-0.39875)],[np.float64(-0.0975)],[1],[0],[0],[1.934251500000002],['target'],3,0,3,0,8.149130200000002,,5,8.1334595,8.149130200000002,8.149130200000002,0.014246499999998719,10.0677965,[np.float64(-0.39875)],[np.float64(-0.0975)],[1],[0],[0],[1.934251500000002],['target'],004,001,2025-09-29_17h41.59.906,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,59.920712912677246,2025-09-29 17h42.09.700073 +0530,
4,0,4,[np.float64(0.2625)],[np.float64(0.135)],[1],[0],[0],[1.7438128999999947],['target'],4,0,4,0,10.098354999999998,,5,10.082956800000005,10.098354999999998,10.098354999999998,0.014999399999993557,11.82687460000001,[np.float64(0.2625)],[np.float64(0.135)],[1],[0],[0],[1.7438128999999947],['target'],004,001,2025-09-29_17h41.59.906,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,59.920712912677246,2025-09-29 17h42.09.700073 +0530,
5,0,5,"[np.float64(0.1425), np.float64(0.12125)]","[np.float64(0.305), np.float64(0.33)]","[1, 1]","[0, 0]","[0, 0]","[1.7678372000000024, 3.596045799999999]","[None, 'target']",5,0,5,0,11.873670400000009,,10,11.85755730000001,11.873670400000009,11.873670400000009,0.0305035000000089,15.453710600000008,"[np.float64(0.1425), np.float64(0.12125)]","[np.float64(0.305), np.float64(0.33)]","[1, 1]","[0, 0]","[0, 0]","[1.7678372000000024, 3.596045799999999]","[None, 'target']",004,001,2025-09-29_17h41.59.906,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,59.920712912677246,2025-09-29 17h42.09.700073 +0530,
6,0,6,[np.float64(0.4675)],[np.float64(0.20625)],[1],[0],[0],[1.8982757999999933],['target'],6,0,6,0,15.482344900000001,,5,15.469782300000006,15.482344900000001,15.482344900000001,0.015812699999997903,17.3681742,[np.float64(0.4675)],[np.float64(0.20625)],[1],[0],[0],[1.8982757999999933],['target'],004,001,2025-09-29_17h41.59.906,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,59.920712912677246,2025-09-29 17h42.09.700073 +0530,
7,0,7,[np.float64(0.13625)],[np.float64(-0.3325)],[1],[0],[0],[2.736666100000008],['target'],7,0,7,0,17.41498030000001,,10,17.397040000000004,17.41498030000001,17.41498030000001,0.028681100000000015,20.133796000000004,[np.float64(0.13625)],[np.float64(-0.3325)],[1],[0],[0],[2.736666100000008],['target'],004,001,2025-09-29_17h41.59.906,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,59.920712912677246,2025-09-29 17h42.09.700073 +0530,
8,0,8,[np.float64(0.035)],[np.float64(0.07375)],[1],[0],[0],[3.334346199999999],['target'],8,0,8,0,20.16502030000001,,5,20.152257500000005,20.16502030000001,20.16502030000001,0.018263099999998644,23.486728400000004,[np.float64(0.035)],[np.float64(0.07375)],[1],[0],[0],[3.334346199999999],['target'],004,001,2025-09-29_17h41.59.906,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,59.920712912677246,2025-09-29 17h42.09.700073 +0530,
9,0,9,[np.float64(0.4525)],[np.float64(0.1325)],[1],[0],[0],[3.8796291000000025],['target'],9,0,9,0,23.5490717,,10,23.521307500000006,23.5490717,23.5490717,0.03435249999999712,27.40108880000001,[np.float64(0.4525)],[np.float64(0.1325)],[1],[0],[0],[3.8796291000000025],['target'],004,001,2025-09-29_17h41.59.906,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,59.920712912677246,2025-09-29 17h42.09.700073 +0530,
