reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
78,80,162,0,0,0,t,0.9749646,None,0,0,0,6,0.0916359,,0.0879062,0.0916359,1.0118496,1.0118496,1.0949399,2.1491257,t,0.9749646,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
40,55,62,1,1,0,t,0.2198223,None,0,1,1,3,2.3119793,,2.1622539,2.3119793,3.1630819,3.1630819,3.3132364,3.396776,t,0.2198223,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
67,75,119,2,2,0,t,0.5955429,None,0,2,2,5,3.4116356,,3.4066417,3.4116356,4.3965401,4.3965401,4.4131015,4.9973777,t,0.5955429,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
11,30,7,3,3,0,l,0.9046372,None,0,3,3,0,5.0248882,,5.0189314,5.0248882,6.0130849,6.0130849,6.029668,6.9311893,l,0.9046372,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
27,50,21,4,4,0,t,1.7203482,None,0,4,4,2,6.9499942,,6.9439153,6.9499942,7.9456384,7.9456384,7.9625134,9.6805074,t,1.7203482,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
15,35,13,5,5,0,l,1.2496918,None,0,5,5,1,9.6964339,,9.6875578,9.6964339,10.6960761,10.6960761,10.6960761,11.9467465,l,1.2496918,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
49,60,89,6,6,0,t,0.968902,None,0,6,6,4,11.9628673,,11.9533423,11.9628673,12.945878,12.945878,12.96227,13.9290584,t,0.968902,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
78,80,162,7,0,1,t,0.6778226,None,1,0,7,6,13.9450609,,13.9353141,13.9450609,14.929469,14.929469,14.9463584,15.6146588,t,0.6778226,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
67,75,119,8,1,1,t,0.3164556,None,1,1,8,5,15.6297956,,15.6223895,15.6297956,16.6286405,16.6286405,16.644988,16.9472951,t,0.3164556,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
49,60,89,9,2,1,t,0.3373974,None,1,2,9,4,16.9628529,,16.9539846,16.9628529,17.9626185,17.9626185,17.9626185,18.3135497,t,0.3373974,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
40,55,62,10,3,1,l,0.3878816,None,1,3,10,3,18.3294826,,18.3196977,18.3294826,19.3129598,19.3129598,19.3292435,19.7146364,l,0.3878816,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
11,30,7,11,4,1,t,0.27024,None,1,4,11,0,19.7294194,,19.7219029,19.7294194,20.7284863,20.7284863,20.7284863,21.013959,t,0.27024,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
27,50,21,12,5,1,l,0.241166,None,1,5,12,2,21.0317844,,21.0267481,21.0317844,22.0294291,22.0294291,22.0462777,22.2815134,l,0.241166,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
15,35,13,13,6,1,t,0.3394928,None,1,6,13,1,22.4760238,,22.4415592,22.4760238,23.2936769,23.2936769,23.4770063,23.6435766,t,0.3394928,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
49,60,89,14,0,2,t,1.3289546,None,2,0,14,4,23.6604926,,23.6503583,23.6604926,24.6432663,24.6432663,24.6604515,25.9776096,t,1.3289546,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
11,30,7,15,1,2,l,0.7232075,None,2,1,15,0,25.9935427,,25.9845628,25.9935427,26.9770854,26.9770854,26.9929113,27.7113056,l,0.7232075,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
67,75,119,16,2,2,t,0.8898106,None,2,2,16,5,27.7346483,,27.7279369,27.7346483,28.7258147,28.7258147,28.7434898,29.628101,t,0.8898106,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
15,35,13,17,3,2,l,0.705142,None,2,3,17,1,29.6486974,,29.6421325,29.6486974,30.6431519,30.6431519,30.6600473,31.3605773,l,0.705142,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
40,55,62,18,4,2,t,0.8459177,None,2,4,18,3,31.3759902,,31.3676286,31.3759902,32.3599984,32.3599984,32.3769098,33.212292,t,0.8459177,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
27,50,21,19,5,2,l,1.0608387,None,2,5,19,2,33.232632,,33.2250556,33.232632,34.2268099,34.2268099,34.2434111,35.2944817,l,1.0608387,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
78,80,162,20,6,2,l,0.6888774,None,2,6,20,6,35.3147398,,35.3082777,35.3147398,36.3092305,36.3092305,36.3259779,37.0114533,l,0.6888774,None,P2,1,2025-11-04_18h03.10.054,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,60.04743748,2025-11-04 18h03.17.663398 +0530
