study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
mouse,0,0,0,1.075,1.8805276000639424,,,,,,,,,,,,0,0,0,8,,,,,0.04128320002928376,,0.02207910001743585,0.04128320002928376,0.04128320002928376,1.93447560002096,1.075,1.8805276000639424,,,,,,,,,,,,,,,Participant 03,001,2025-10-16_19h53.57.660,Word Priming Experiment,,2025.1.1,119.40654948965773,2025-10-16 19h54.28.617137 +0530,
Police,1,1,0,1.075,1.2617921999190003,,,,,,,,,,,,0,1,1,12,,,,,1.9661071000155061,,1.940950300078839,1.9661071000155061,1.9661071000155061,3.218769900035113,1.075,1.2617921999190003,,,,,,,,,,,,,,,Participant 03,001,2025-10-16_19h53.57.660,Word Priming Experiment,,2025.1.1,119.40654948965773,2025-10-16 19h54.28.617137 +0530,
Pastry,2,2,0,1.075,0.9766768999397755,,,,,,,,,,,,0,2,2,9,,,,,3.2495724000036716,,3.2265221000416204,3.2495724000036716,3.2495724000036716,4.217954899999313,1.075,0.9766768999397755,,,,,,,,,,,,,,,Participant 03,001,2025-10-16_19h53.57.660,Word Priming Experiment,,2025.1.1,119.40654948965773,2025-10-16 19h54.28.617137 +0530,
Keys,3,3,0,1.075,0.8465175000019372,,,,,,,,,,,,0,3,3,13,,,,,4.233921600040048,,4.223421000060625,4.233921600040048,4.233921600040048,5.083964400109835,1.075,0.8465175000019372,,,,,,,,,,,,,,,Participant 03,001,2025-10-16_19h53.57.660,Word Priming Experiment,,2025.1.1,119.40654948965773,2025-10-16 19h54.28.617137 +0530,
phone,4,4,0,1.075,0.598953599925153,,,,,,,,,,,,0,4,4,2,,,,,5.100326200015843,,5.088628900004551,5.100326200015843,5.100326200015843,5.703012000070885,1.075,0.598953599925153,,,,,,,,,,,,,,,Participant 03,001,2025-10-16_19h53.57.660,Word Priming Experiment,,2025.1.1,119.40654948965773,2025-10-16 19h54.28.617137 +0530,
Laptop,5,5,0,2.055,1.0028100999770686,,,,,,,,,,,,0,5,5,5,,,,,5.732797300093807,,5.708499100059271,5.732797300093807,5.732797300093807,6.7254106000764295,2.055,1.0028100999770686,,,,,,,,,,,,,,,Participant 03,001,2025-10-16_19h53.57.660,Word Priming Experiment,,2025.1.1,119.40654948965773,2025-10-16 19h54.28.617137 +0530,
T-shirt,6,6,0,2.91,1.7719598000403494,,,,,,,,,,,,0,6,6,7,,,,,6.742515400052071,,6.730138800106943,6.742515400052071,6.742515400052071,8.51783270004671,2.91,1.7719598000403494,,,,,,,,,,,,,,,Participant 03,001,2025-10-16_19h53.57.660,Word Priming Experiment,,2025.1.1,119.40654948965773,2025-10-16 19h54.28.617137 +0530,
Case,7,7,0,4.03,1.2922824999550357,,,,,,,,,,,,0,7,7,10,,,,,8.53326310007833,,8.52014090004377,8.53326310007833,8.53326310007833,9.842405300005339,4.03,1.2922824999550357,,,,,,,,,,,,,,,Participant 03,001,2025-10-16_19h53.57.660,Word Priming Experiment,,2025.1.1,119.40654948965773,2025-10-16 19h54.28.617137 +0530,
cushion,8,8,0,1.065,1.584242400014773,,,,,,,,,,,,0,8,8,1,,,,,9.85908130009193,,9.845844800001942,9.85908130009193,9.85908130009193,11.459834100096487,1.065,1.584242400014773,,,,,,,,,,,,,,,Participant 03,001,2025-10-16_19h53.57.660,Word Priming Experiment,,2025.1.1,119.40654948965773,2025-10-16 19h54.28.617137 +0530,
marble,9,9,0,1.065,0.4144227000651881,,,,,,,,,,,,0,9,9,3,,,,,11.475970500032417,,11.463672700105235,11.475970500032417,11.475970500032417,11.8935375000583,1.065,0.4144227000651881,,,,,,,,,,,,,,,Participant 03,001,2025-10-16_19h53.57.660,Word Priming Experiment,,2025.1.1,119.40654948965773,2025-10-16 19h54.28.617137 +0530,
