word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,text_2.stopped,instruction.stopped,trial.started,circle.started,circle.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.02883480000309646,0.03281730000162497,1.0220980000449345,0.9974014000035822,,,,,,,,,,,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
RED,red,C,r,0,0,0,r,1,0.4800910000340082,None,0,0,0,0,1.0220980000449345,,,,,,1.0175735999946482,1.0220980000449345,1.5118013000464998,1.5118013000464998,1.5118013000464998,2.0161020000232384,r,1,0.4800910000340082,None,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
BLUE,red,I,r,1,1,0,r,1,0.36034419998759404,None,0,1,1,2,2.0517862000269815,,,,,,2.0447611000272445,2.0517862000269815,2.529534000030253,2.529534000030253,2.529534000030253,2.8975246000336483,r,1,0.36034419998759404,None,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
BLUE,blue,C,b,2,2,0,b,1,0.5714366000029258,None,0,2,2,3,2.9129429000313394,,,,,,2.899139399989508,2.9129429000313394,3.413553700025659,3.413553700025659,3.413553700025659,3.998220300010871,b,1,0.5714366000029258,None,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
RED,blue,I,b,3,3,0,b,1,0.31632290000561625,None,0,3,3,1,4.013232800003607,,,,,,4.0062062999932095,4.013232800003607,4.513089200016111,4.513089200016111,4.513089200016111,4.830883799993899,b,1,0.31632290000561625,None,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
BLUE,red,I,r,4,0,1,r,1,0.451827900018543,None,1,0,4,2,4.846411700011231,,,,,,4.839566300041042,4.846411700011231,5.346426600008272,5.346426600008272,5.346426600008272,5.815428400004748,r,1,0.451827900018543,None,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
BLUE,blue,C,b,5,1,1,b,1,0.4292503999895416,None,1,1,5,3,5.829831000010017,,,,,,5.816570000024512,5.829831000010017,6.3298013000166975,6.3298013000166975,6.3298013000166975,6.764671100012492,b,1,0.4292503999895416,None,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
RED,blue,I,b,6,2,1,b,1,0.35451029997784644,None,1,2,6,1,6.779713199997786,,,,,,6.771780900016893,6.779713199997786,7.279654200014193,7.279654200014193,7.279654200014193,7.648071700008586,b,1,0.35451029997784644,None,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
RED,red,C,r,7,3,1,r,1,0.44907790003344417,None,1,3,7,0,7.6634417999885045,,,,,,7.649773200042546,7.6634417999885045,8.163251399993896,8.163251399993896,8.163251399993896,8.614618999999948,r,1,0.44907790003344417,None,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
RED,blue,I,b,8,0,2,b,1,0.37602939998032525,None,2,0,8,1,8.62944069999503,,,,,,8.616483199992217,8.62944069999503,9.129677599994466,9.129677599994466,9.129677599994466,9.514779600023758,b,1,0.37602939998032525,None,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
RED,red,C,r,9,1,2,r,1,0.799258999992162,None,2,1,9,0,9.529746100015473,,,,,,9.5164048000006,9.529746100015473,10.029379500017967,10.029379500017967,10.029379500017967,10.830665600020438,r,1,0.799258999992162,None,,,,,4,001,2025-08-26_17h53.19.717,stroop,,2025.1.1,59.57629340696509,2025-08-26 17h53.25.288703 +0530,
