study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
book,0,0,0,1,1.1867471999721602,,,,,,,,,,,,0,0,0,0,,,,,0.02410590008366853,,0.014336700085550547,0.02410590008366853,0.02410590008366853,1.2197603000095114,1,1.1867471999721602,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Police,1,1,0,1.875,1.211583000025712,,,,,,,,,,,,0,1,1,12,,,,,1.2493588000070304,,1.2261049000080675,1.2493588000070304,1.2493588000070304,2.4503626000368968,1.875,1.211583000025712,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
board,2,2,0,1,1.3170822999672964,,,,,,,,,,,,0,2,2,4,,,,,2.4663732000626624,,2.4543225000379607,2.4663732000626624,2.4663732000626624,3.784580400097184,1,1.3170822999672964,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Keys,3,3,0,1.94,1.2391006000107154,,,,,,,,,,,,0,3,3,13,,,,,3.7996153000276536,,3.7898921000305563,3.7996153000276536,3.7996153000276536,5.043987400014885,1.94,1.2391006000107154,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
marble,4,4,0,1.045,1.121015299926512,,,,,,,,,,,,0,4,4,3,,,,,5.058201200095937,,5.0478842000011355,5.058201200095937,5.058201200095937,6.183810100075789,1.045,1.121015299926512,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Laptop,5,5,0,2.05,2.0141638999339193,,,,,,,,,,,,0,5,5,5,,,,,6.1997226000530645,,6.189582000020891,6.1997226000530645,6.1997226000530645,8.22505510004703,2.05,2.0141638999339193,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
mouse,6,6,0,2.05,0.7331536998972297,,,,,,,,,,,,0,6,6,8,,,,,8.241664400091395,,8.228894800064154,8.241664400091395,8.241664400091395,8.977248300099745,2.05,0.7331536998972297,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Chart,7,7,0,2.05,0.6941776999738067,,,,,,,,,,,,0,7,7,6,,,,,9.007171500008553,,8.983318999991752,9.007171500008553,9.007171500008553,9.693949500098825,2.05,0.6941776999738067,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
phone,8,8,0,1.455,0.9606401999481022,,,,,,,,,,,,0,8,8,2,,,,,9.723937300033867,,9.70052110007964,9.723937300033867,9.723937300033867,10.675182500039227,1.455,0.9606401999481022,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Pastry,9,9,0,1.115,1.1839798000873998,,,,,,,,,,,,0,9,9,9,,,,,10.691043300088495,,10.676750699989498,10.691043300088495,10.691043300088495,11.877263700007461,1.115,1.1839798000873998,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
cushion,10,10,0,1.115,0.5636420000810176,,,,,,,,,,,,0,10,10,1,,,,,11.891994600067846,,11.882201100001112,11.891994600067846,11.891994600067846,12.459213300026022,1.115,0.5636420000810176,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Cruise,11,11,0,1.115,0.6658013999694958,,,,,,,,,,,,0,11,11,11,,,,,12.47472340008244,,12.462100300006568,12.47472340008244,12.47472340008244,13.143649500096217,1.115,0.6658013999694958,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
T-shirt,12,12,0,1.115,0.5305565999587998,,,,,,,,,,,,0,12,12,7,,,,,13.158484100014903,,13.148826000047848,13.158484100014903,13.158484100014903,13.692903200048022,1.115,0.5305565999587998,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Poster,13,13,0,1.115,0.5656435999553651,,,,,,,,,,,,0,13,13,14,,,,,13.708230399992317,,13.694540000054985,13.708230399992317,13.708230399992317,14.276727400021628,1.115,0.5656435999553651,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Case,14,14,0,1.115,0.4982926999218762,,,,,,,,,,,,0,14,14,10,,,,,14.29142280004453,,14.278435199987143,14.29142280004453,14.29142280004453,14.79198219999671,1.115,0.4982926999218762,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
board,15,0,1,1.115,0.6674536999780685,,,,,,,,,,,,1,0,15,4,,,,,14.808070600032806,,14.793551600072533,14.808070600032806,14.808070600032806,15.476233400055207,1.115,0.6674536999780685,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Laptop,16,1,1,1.115,0.39892910001799464,,,,,,,,,,,,1,1,16,5,,,,,15.491421999991871,,15.477910400019027,15.491421999991871,15.491421999991871,15.893263600068167,1.115,0.39892910001799464,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
mouse,17,2,1,1.115,0.49692679999861866,,,,,,,,,,,,1,2,17,8,,,,,15.90813320002053,,15.897286800085567,15.90813320002053,15.90813320002053,16.408423600019887,1.115,0.49692679999861866,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Cruise,18,3,1,1.115,0.18356400006450713,,,,,,,,,,,,1,3,18,11,,,,,16.425392200006172,,16.410180400009267,16.425392200006172,16.425392200006172,16.609737900085747,1.115,0.18356400006450713,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
T-shirt,19,4,1,1.115,0.23266069998499006,,,,,,,,,,,,1,4,19,7,,,,,16.624584300094284,,16.61132670007646,16.624584300094284,16.624584300094284,16.85897050006315,1.115,0.23266069998499006,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Chart,20,5,1,1.115,0.1989047999959439,,,,,,,,,,,,1,5,20,6,,,,,16.875027800095268,,16.86260280001443,16.875027800095268,16.875027800095268,17.076351499999873,1.115,0.1989047999959439,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Case,21,6,1,1.115,0.4809330999851227,,,,,,,,,,,,1,6,21,10,,,,,17.092216100078076,,17.080006400006823,17.092216100078076,17.092216100078076,17.57610880001448,1.115,0.4809330999851227,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
phone,22,7,1,1.115,0.6667974999872968,,,,,,,,,,,,1,7,22,2,,,,,17.591466600075364,,17.57778340007644,17.591466600075364,17.591466600075364,18.259318300057203,1.115,0.6667974999872968,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Keys,23,8,1,1.115,0.5314273999538273,,,,,,,,,,,,1,8,23,13,,,,,18.27456280007027,,18.262456400087103,18.27456280007027,18.27456280007027,18.810028200037777,1.115,0.5314273999538273,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Pastry,24,9,1,1.115,0.6341187000507489,,,,,,,,,,,,1,9,24,9,,,,,18.824558500084095,,18.813140399986878,18.824558500084095,18.824558500084095,19.45972560008522,1.115,0.6341187000507489,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
Poster,25,10,1,1.115,0.19588830007705837,,,,,,,,,,,,1,10,25,14,,,,,19.475305100088008,,19.462343999999575,19.475305100088008,19.475305100088008,19.67671880009584,1.115,0.19588830007705837,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
marble,26,11,1,1.115,0.1839567000279203,,,,,,,,,,,,1,11,26,3,,,,,19.6917478000978,,19.679596500005573,19.6917478000978,19.6917478000978,19.87876029999461,1.115,0.1839567000279203,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
cushion,27,12,1,1.115,0.2515333000337705,,,,,,,,,,,,1,12,27,1,,,,,19.891653800033964,,19.883577200002037,19.891653800033964,19.891653800033964,20.157917500007898,1.115,0.2515333000337705,,,,,,,,,,,,,,,Participant 01,001,2025-10-16_17h51.32.797,Word Priming Experiment,,2025.1.1,120.23349343055776,2025-10-16 17h51.46.329826 +0530,
