thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.25125)],[np.float64(0.4525)],[1],[0],[0],[1.9817519999996875],['target'],0,0,0,0,0.06803010000294307,,10,0.04759370000101626,0.06803010000294307,0.06803010000294307,0.047618900003726594,2.029446200001985,[np.float64(-0.25125)],[np.float64(0.4525)],[1],[0],[0],[1.9817519999996875],['target'],005,001,2025-09-30_09h38.01.041,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,121.30563683032345,2025-09-30 09h38.12.914235 +0530,
1,0,1,[np.float64(0.07375)],[np.float64(-0.47125)],[1],[0],[0],[1.7448962999987998],['target'],1,0,1,0,2.077068999999028,,10,2.052351699996507,2.077068999999028,2.077068999999028,0.02267050000227755,3.7973801999978605,[np.float64(0.07375)],[np.float64(-0.47125)],[1],[0],[0],[1.7448962999987998],['target'],005,001,2025-09-30_09h38.01.041,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,121.30563683032345,2025-09-30 09h38.12.914235 +0530,
2,0,2,[np.float64(-0.19875)],[np.float64(0.38875)],[1],[0],[0],[1.2983558000050834],['target'],2,0,2,0,3.8273755999980494,,5,3.814460900000995,3.8273755999980494,3.8273755999980494,0.01682009999785805,5.112908700000844,[np.float64(-0.19875)],[np.float64(0.38875)],[1],[0],[0],[1.2983558000050834],['target'],005,001,2025-09-30_09h38.01.041,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,121.30563683032345,2025-09-30 09h38.12.914235 +0530,
3,0,3,[np.float64(0.125)],[np.float64(-0.12375)],[1],[0],[0],[1.4183244000014383],['target'],3,0,3,0,5.14314330000343,,10,5.1352699999988545,5.14314330000343,5.14314330000343,0.022172500001033768,6.553701299999375,[np.float64(0.125)],[np.float64(-0.12375)],[1],[0],[0],[1.4183244000014383],['target'],005,001,2025-09-30_09h38.01.041,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,121.30563683032345,2025-09-30 09h38.12.914235 +0530,
4,0,4,[np.float64(0.47625)],[np.float64(-0.33125)],[1],[0],[0],[2.3451858999978867],['target'],4,0,4,0,6.584832599997753,,5,6.567136099998606,6.584832599997753,6.584832599997753,0.013194599996495526,8.912414500002342,[np.float64(0.47625)],[np.float64(-0.33125)],[1],[0],[0],[2.3451858999978867],['target'],005,001,2025-09-30_09h38.01.041,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,121.30563683032345,2025-09-30 09h38.12.914235 +0530,
5,0,5,[np.float64(-0.4475)],[np.float64(0.49125)],[1],[0],[0],[1.551675000002433],['target'],5,0,5,0,8.961199099998339,,10,8.935819099999208,8.961199099998339,8.961199099998339,0.0232317999980296,10.48758490000182,[np.float64(-0.4475)],[np.float64(0.49125)],[1],[0],[0],[1.551675000002433],['target'],005,001,2025-09-30_09h38.01.041,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,121.30563683032345,2025-09-30 09h38.12.914235 +0530,
6,0,6,[np.float64(0.3425)],[np.float64(0.34875)],[1],[0],[0],[1.9549969999934547],['target'],6,0,6,0,10.535614100001112,,10,10.5157629000023,10.535614100001112,10.535614100001112,0.027957999998761807,12.470862299996952,[np.float64(0.3425)],[np.float64(0.34875)],[1],[0],[0],[1.9549969999934547],['target'],005,001,2025-09-30_09h38.01.041,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,121.30563683032345,2025-09-30 09h38.12.914235 +0530,
7,0,7,[np.float64(0.08375)],[np.float64(0.0875)],[1],[0],[0],[1.467018299998017],['target'],7,0,7,0,12.518163599997933,,10,12.495805699996708,12.518163599997933,12.518163599997933,0.024717199994483963,13.962931299996853,[np.float64(0.08375)],[np.float64(0.0875)],[1],[0],[0],[1.467018299998017],['target'],005,001,2025-09-30_09h38.01.041,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,121.30563683032345,2025-09-30 09h38.12.914235 +0530,
8,0,8,[np.float64(0.48)],[np.float64(-0.06125)],[1],[0],[0],[2.024377200003073],['target'],8,0,8,0,14.01024740000139,,10,13.988310399996408,14.01024740000139,14.01024740000139,0.02514099999825703,16.01279059999797,[np.float64(0.48)],[np.float64(-0.06125)],[1],[0],[0],[2.024377200003073],['target'],005,001,2025-09-30_09h38.01.041,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,121.30563683032345,2025-09-30 09h38.12.914235 +0530,
9,0,9,[np.float64(0.27625)],[np.float64(0.30375)],[1],[0],[0],[1.673869600002945],['target'],9,0,9,0,16.042919699997583,,5,16.03058559999772,16.042919699997583,16.042919699997583,0.01758269999845652,17.704563500003133,[np.float64(0.27625)],[np.float64(0.30375)],[1],[0],[0],[1.673869600002945],['target'],005,001,2025-09-30_09h38.01.041,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,121.30563683032345,2025-09-30 09h38.12.914235 +0530,
