word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,text_2.stopped,instruction.stopped,trial.started,circle.started,circle.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
BLUE,red,I,r,10,2,2,r,1,0.3980169999995269,None,2,2,10,2,11.674014099990018,,,,,,11.666621600044891,11.674014099990018,12.173745100037195,12.173745100037195,12.173745100037195,12.575413600017782,r,1,0.3980169999995269,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
RED,blue,I,b,11,3,2,b,1,0.5815862999879755,None,2,3,11,1,12.59023500001058,,,,,,12.583847900037654,12.59023500001058,13.090769000002183,13.090769000002183,13.090769000002183,13.67562039999757,b,1,0.5815862999879755,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
RED,red,C,r,12,0,3,r,1,0.563090400013607,None,3,0,12,0,13.69051440001931,,,,,,13.678051700000651,13.69051440001931,14.19092650001403,14.19092650001403,14.19092650001403,14.75890850002179,r,1,0.563090400013607,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
RED,blue,I,b,13,1,3,b,1,0.5273802999872714,None,3,1,13,1,14.77363549999427,,,,,,14.760760500037577,14.77363549999427,15.274087400001008,15.274087400001008,15.274087400001008,15.808302299992647,b,1,0.5273802999872714,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
BLUE,red,I,r,14,2,3,r,1,0.5072567999595776,None,3,2,14,2,15.822868500021286,,,,,,15.81304259999888,15.822868500021286,16.32308510004077,16.32308510004077,16.32308510004077,16.841119699995033,r,1,0.5072567999595776,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
BLUE,blue,C,b,15,3,3,b,1,0.44877039996208623,None,3,3,15,3,16.857452900032513,,,,,,16.84203370002797,16.857452900032513,17.35708839999279,17.35708839999279,17.35708839999279,17.808052700012922,b,1,0.44877039996208623,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
RED,red,C,r,16,0,4,r,1,0.5148539999499917,None,4,0,16,0,17.824207600031514,,,,,,17.812523400003556,17.824207600031514,18.30728100001579,18.30728100001579,18.30728100001579,18.8241890000063,r,1,0.5148539999499917,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
RED,blue,I,b,17,1,4,b,1,0.6145940999849699,None,4,1,17,1,18.840064199990593,,,,,,18.825097499997355,18.840064199990593,19.324059700011276,19.324059700011276,19.324059700011276,19.94044000003487,b,1,0.6145940999849699,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
BLUE,red,I,r,18,2,4,b,0,0.5359095999738201,None,4,2,18,2,19.9570279000327,,,,,,19.944299900031183,19.9570279000327,20.441032200003974,20.441032200003974,20.441032200003974,20.992042700003367,b,0,0.5359095999738201,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
BLUE,blue,C,b,19,3,4,b,1,0.650527499965392,None,4,3,19,3,21.007242500025313,,,,,,20.993919900036417,21.007242500025313,21.50717530003749,21.50717530003749,21.50717530003749,22.159627599990927,b,1,0.650527499965392,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.16006040002685,22.173897200031206,23.17405760003021,23.158488200046122,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
