word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction.started,text_2.started,text_2.stopped,instruction.stopped,trial.started,circle.started,circle.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.002397000032942742,0.0057221000315621495,1.0165987000218593,0.9912038000184111,,,,,,,,,,,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
BLUE,blue,C,b,0,0,0,b,1,0.6785322999930941,None,0,0,0,3,1.0165987000218593,,,,,,1.0121300000464544,1.0165987000218593,1.5075384000083432,1.5075384000083432,1.5075384000083432,2.208319500030484,b,1,0.6785322999930941,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
BLUE,red,I,r,1,1,0,r,1,0.5645102999988012,None,0,1,1,2,2.2170357000431977,,,,,,2.210144200013019,2.2170357000431977,2.7242582000326365,2.7242582000326365,2.7242582000326365,3.2922037999960594,r,1,0.5645102999988012,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
RED,blue,I,b,2,2,0,b,1,0.5347494999878109,None,0,2,2,1,3.319978000014089,,,,,,3.3141565000405535,3.319978000014089,3.7906954000354744,3.7906954000354744,3.7906954000354744,4.342329300008714,b,1,0.5347494999878109,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
RED,red,C,r,3,3,0,r,1,0.5300811000051908,None,0,3,3,0,4.357571700005792,,,,,,4.343855000042822,4.357571700005792,4.8574233000399545,4.8574233000399545,4.8574233000399545,5.391926300013438,r,1,0.5300811000051908,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
RED,red,C,r,4,0,1,r,1,0.41611799999373034,None,1,0,4,0,5.407655499991961,,,,,,5.393554300011601,5.407655499991961,5.907473300001584,5.907473300001584,5.907473300001584,6.326105200045276,r,1,0.41611799999373034,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
BLUE,blue,C,b,5,1,1,b,1,0.5351232000393793,None,1,1,5,3,6.340479200007394,,,,,,6.332973100012168,6.340479200007394,6.840741100022569,6.840741100022569,6.840741100022569,7.392189200036228,b,1,0.5351232000393793,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
RED,blue,I,b,6,2,1,b,1,0.49344180000480264,None,1,2,6,1,7.407052700000349,,,,,,7.401611600012984,7.407052700000349,7.907807500043418,7.907807500043418,7.907807500043418,8.409813600010239,b,1,0.49344180000480264,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
BLUE,red,I,r,7,3,1,r,1,0.5878625999903306,None,1,3,7,2,8.42481769999722,,,,,,8.416384600044694,8.42481769999722,8.924126900034025,8.924126900034025,8.924126900034025,9.525329300027806,r,1,0.5878625999903306,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.5280668000341393,None,2,0,8,3,9.540992100024596,,,,,,9.526913200039417,9.540992100024596,10.040927900001407,10.040927900001407,10.040927900001407,10.575550300010946,b,1,0.5280668000341393,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
RED,red,C,r,9,1,2,r,1,0.5620308999787085,None,2,1,9,0,10.590820800047368,,,,,,10.58429700002307,10.590820800047368,11.0905757000437,11.0905757000437,11.0905757000437,11.659160600043833,r,1,0.5620308999787085,None,,,,,1,001,2025-08-26_17h50.41.306,stroop,,2025.1.1,60.198136147304744,2025-08-26 17h50.46.624662 +0530,
