thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,"[np.float64(-0.415), np.float64(-0.41)]","[np.float64(0.24166666666666667), np.float64(0.245)]","[1, 1]","[0, 0]","[0, 0]","[1.6807434000074863, 2.5574037000187673]","[None, 'target']",0,0,0,0,0.04446309997001663,,5,0.029832399974111468,0.04446309997001663,0.04446309997001663,0.029864399984944612,2.5873628999688663,"[np.float64(-0.415), np.float64(-0.41)]","[np.float64(0.24166666666666667), np.float64(0.245)]","[1, 1]","[0, 0]","[0, 0]","[1.6807434000074863, 2.5574037000187673]","[None, 'target']",001,001,2025-09-29_15h41.40.318,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,61.31377016399075,2025-09-29 15h42.11.677948 +0530,
1,0,1,[np.float64(0.3016666666666667)],[np.float64(-0.45)],[1],[0],[0],[2.177574299974367],['target'],1,0,1,0,2.6292699999758042,,5,2.6101187999593094,2.6292699999758042,2.6292699999758042,0.022536200005561113,4.787821599980816,[np.float64(0.3016666666666667)],[np.float64(-0.45)],[1],[0],[0],[2.177574299974367],['target'],001,001,2025-09-29_15h41.40.318,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,61.31377016399075,2025-09-29 15h42.11.677948 +0530,
2,0,2,[np.float64(0.35833333333333334)],[np.float64(0.3383333333333333)],[1],[0],[0],[2.498959599994123],['target'],2,0,2,0,4.8457889999845065,,10,4.819909399957396,4.8457889999845065,4.8457889999845065,0.03184409998357296,7.318999799957965,[np.float64(0.35833333333333334)],[np.float64(0.3383333333333333)],[1],[0],[0],[2.498959599994123],['target'],001,001,2025-09-29_15h41.40.318,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,61.31377016399075,2025-09-29 15h42.11.677948 +0530,
3,0,3,[np.float64(0.09333333333333334)],[np.float64(0.17833333333333334)],[1],[0],[0],[1.63264959998196],['target'],3,0,3,0,7.378837900003418,,10,7.3545470999670215,7.378837900003418,7.378837900003418,0.03526380000403151,8.987327899958473,[np.float64(0.09333333333333334)],[np.float64(0.17833333333333334)],[1],[0],[0],[1.63264959998196],['target'],001,001,2025-09-29_15h41.40.318,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,61.31377016399075,2025-09-29 15h42.11.677948 +0530,
4,0,4,"[np.float64(0.345), np.float64(0.32666666666666666)]","[np.float64(0.18166666666666667), np.float64(0.20333333333333334)]","[1, 1]","[0, 0]","[0, 0]","[1.668475500016939, 4.0272502999869175]","[None, 'target']",4,0,4,0,9.045558099984191,,10,9.024180099950172,9.045558099984191,9.045558099984191,0.0365812000236474,13.051542999979574,"[np.float64(0.345), np.float64(0.32666666666666666)]","[np.float64(0.18166666666666667), np.float64(0.20333333333333334)]","[1, 1]","[0, 0]","[0, 0]","[1.668475500016939, 4.0272502999869175]","[None, 'target']",001,001,2025-09-29_15h41.40.318,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,61.31377016399075,2025-09-29 15h42.11.677948 +0530,
5,0,5,[np.float64(-0.023333333333333334)],[np.float64(0.47333333333333333)],[1],[0],[0],[4.2039730999968015],['target'],5,0,5,0,13.094850299996324,,10,13.078392700001132,13.094850299996324,13.094850299996324,0.02655899996170774,17.2824641999905,[np.float64(-0.023333333333333334)],[np.float64(0.47333333333333333)],[1],[0],[0],[4.2039730999968015],['target'],001,001,2025-09-29_15h41.40.318,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,61.31377016399075,2025-09-29 15h42.11.677948 +0530,
6,0,6,[np.float64(-0.03666666666666667)],[np.float64(-0.085)],[1],[0],[0],[2.1008862999733537],['target'],6,0,6,0,17.345522199990228,,10,17.315298500005156,17.345522199990228,17.345522199990228,0.03263239999068901,19.41633889998775,[np.float64(-0.03666666666666667)],[np.float64(-0.085)],[1],[0],[0],[2.1008862999733537],['target'],001,001,2025-09-29_15h41.40.318,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,61.31377016399075,2025-09-29 15h42.11.677948 +0530,
7,0,7,[np.float64(0.49)],[np.float64(-0.43833333333333335)],[1],[0],[0],[1.8825691999518313],['target'],7,0,7,0,19.461764899955597,,5,19.44013449997874,19.461764899955597,19.461764899955597,0.023459199990611523,21.322813299950212,[np.float64(0.49)],[np.float64(-0.43833333333333335)],[1],[0],[0],[1.8825691999518313],['target'],001,001,2025-09-29_15h41.40.318,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,61.31377016399075,2025-09-29 15h42.11.677948 +0530,
8,0,8,[np.float64(0.35)],[np.float64(-0.37666666666666665)],[1],[0],[0],[1.3345830999896862],['target'],8,0,8,0,21.370217799965758,,10,21.355930499965325,21.370217799965758,21.370217799965758,0.03289319999748841,22.69065609999234,[np.float64(0.35)],[np.float64(-0.37666666666666665)],[1],[0],[0],[1.3345830999896862],['target'],001,001,2025-09-29_15h41.40.318,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,61.31377016399075,2025-09-29 15h42.11.677948 +0530,
9,0,9,[np.float64(-0.10166666666666667)],[np.float64(-0.325)],[1],[0],[0],[1.6417694000410847],['target'],9,0,9,0,22.71967689995654,,5,22.70918869995512,22.71967689995654,22.71967689995654,0.018176599987782538,24.351095099991653,[np.float64(-0.10166666666666667)],[np.float64(-0.325)],[1],[0],[0],[1.6417694000410847],['target'],001,001,2025-09-29_15h41.40.318,Visual Search Experiment Bhumika Bajaj AU2320057,,2025.1.1,61.31377016399075,2025-09-29 15h42.11.677948 +0530,
